STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
FOL,D,23,OUTFLOW,19880530 0000,19880530 0000,1217,,CFS
FOL,D,23,OUTFLOW,19880531 0000,19880530 0100,1217,,CFS
FOL,D,23,OUTFLOW,19880601 0000,19880531 0100,1192,,CFS
FOL,D,23,OUTFLOW,19880602 0000,19880601 0100,1220,,CFS
FOL,D,23,OUTFLOW,19880603 0000,19880602 0100,1236,,CFS
FOL,D,23,OUTFLOW,19880605 0000,19880605 0000,1242,,CFS
FOL,D,23,OUTFLOW,19880606 0000,19880605 0100,1242,,CFS
FOL,D,23,OUTFLOW,19880607 0000,19880606 0100,1286,,CFS
FOL,D,23,OUTFLOW,19880608 0000,19880608 0000,1215,,CFS
FOL,D,23,OUTFLOW,19880609 0000,19880608 0100,1215,,CFS
FOL,D,23,OUTFLOW,19880610 0000,19880609 0100,1167,,CFS
FOL,D,23,OUTFLOW,19880612 0000,19880612 0000,1193,,CFS
FOL,D,23,OUTFLOW,19880613 0000,19880612 0100,1193,,CFS
FOL,D,23,OUTFLOW,19880614 0000,19880613 0100,1292,,CFS
FOL,D,23,OUTFLOW,19880615 0000,19880614 0100,1263,,CFS
FOL,D,23,OUTFLOW,19880616 0000,19880615 0100,1313,,CFS
FOL,D,23,OUTFLOW,19880617 0000,19880616 0100,2243,,CFS
FOL,D,23,OUTFLOW,19880619 0000,19880619 0000,3445,,CFS
FOL,D,23,OUTFLOW,19880620 0000,19880619 0100,3445,,CFS
FOL,D,23,OUTFLOW,19880621 0000,19880620 0100,2766,,CFS
FOL,D,23,OUTFLOW,19880622 0000,19880621 0100,1666,,CFS
FOL,D,23,OUTFLOW,19880623 0000,19880622 0100,1248,,CFS
FOL,D,23,OUTFLOW,19880624 0000,19880623 0100,1855,,CFS
FOL,D,23,OUTFLOW,19880626 0000,19880626 0000,2982,,CFS
FOL,D,23,OUTFLOW,19880627 0000,19880626 0100,2982,,CFS
FOL,D,23,OUTFLOW,19880628 0000,19880627 0100,1920,,CFS
FOL,D,23,OUTFLOW,19880629 0000,19880628 0100,1255,,CFS
FOL,D,23,OUTFLOW,19880630 0000,19880629 0100,1260,,CFS
FOL,D,23,OUTFLOW,19880701 0000,19880630 0100,1300,,CFS
FOL,D,23,OUTFLOW,19880704 0000,19880704 0000,2435,,CFS
FOL,D,23,OUTFLOW,19880705 0000,19880704 0100,2435,,CFS
FOL,D,23,OUTFLOW,19880706 0000,19880705 0100,2286,,CFS
FOL,D,23,OUTFLOW,19880707 0000,19880706 0100,2223,,CFS
FOL,D,23,OUTFLOW,19880708 0000,19880707 0100,1770,,CFS
FOL,D,23,OUTFLOW,19880710 0000,19880710 0000,2302,,CFS
FOL,D,23,OUTFLOW,19880711 0000,19880710 0100,2302,,CFS
FOL,D,23,OUTFLOW,19880712 0000,19880711 0100,2299,,CFS
FOL,D,23,OUTFLOW,19880713 0000,19880712 0100,3318,,CFS
FOL,D,23,OUTFLOW,19880714 0000,19880713 0100,3370,,CFS
FOL,D,23,OUTFLOW,19880715 0000,19880714 0100,3783,,CFS
FOL,D,23,OUTFLOW,19880717 0000,19880717 0000,3840,,CFS
FOL,D,23,OUTFLOW,19880718 0000,19880717 0100,3840,,CFS
FOL,D,23,OUTFLOW,19880719 0000,19880718 0100,3813,,CFS
FOL,D,23,OUTFLOW,19880720 0000,19880719 0100,3822,,CFS
FOL,D,23,OUTFLOW,19880721 0000,19880720 0100,4208,,CFS
FOL,D,23,OUTFLOW,19880722 0000,19880721 0100,4714,,CFS
FOL,D,23,OUTFLOW,19880724 0000,19880724 0000,3654,,CFS
FOL,D,23,OUTFLOW,19880725 0000,19880724 0100,3654,,CFS
FOL,D,23,OUTFLOW,19880726 0000,19880725 0100,3392,,CFS
FOL,D,23,OUTFLOW,19880727 0000,19880726 0100,3467,,CFS
FOL,D,23,OUTFLOW,19880728 0000,19880727 0100,3596,,CFS
FOL,D,23,OUTFLOW,19880729 0000,19880728 0100,3518,,CFS
FOL,D,23,OUTFLOW,19880731 0000,19880731 0000,3809,,CFS
FOL,D,23,OUTFLOW,19880801 0000,19880731 0100,3809,,CFS
FOL,D,23,OUTFLOW,19880802 0000,19880801 0100,3525,,CFS
FOL,D,23,OUTFLOW,19880803 0000,19880802 0100,3632,,CFS
FOL,D,23,OUTFLOW,19880804 0000,19880803 0100,3979,,CFS
FOL,D,23,OUTFLOW,19880805 0000,19880804 0100,3332,,CFS
FOL,D,23,OUTFLOW,19880807 0000,19880807 0000,2331,,CFS
FOL,D,23,OUTFLOW,19880808 0000,19880807 0100,2331,,CFS
FOL,D,23,OUTFLOW,19880809 0000,19880808 0100,2446,,CFS
FOL,D,23,OUTFLOW,19880810 0000,19880809 0100,1855,,CFS
FOL,D,23,OUTFLOW,19880811 0000,19880810 0100,1259,,CFS
FOL,D,23,OUTFLOW,19880812 0000,19880811 0100,1357,,CFS
FOL,D,23,OUTFLOW,19880814 0000,19880814 0000,1270,,CFS
FOL,D,23,OUTFLOW,19880815 0000,19880814 0100,1270,,CFS
FOL,D,23,OUTFLOW,19880816 0000,19880815 0100,1261,,CFS
FOL,D,23,OUTFLOW,19880817 0000,19880816 0100,1287,,CFS
FOL,D,23,OUTFLOW,19880818 0000,19880817 0100,1333,,CFS
FOL,D,23,OUTFLOW,19880819 0000,19880818 0100,1393,,CFS
FOL,D,23,OUTFLOW,19880820 0000,19880819 0100,1229,,CFS
FOL,D,23,OUTFLOW,19880821 0000,19880820 0100,1241,,CFS
FOL,D,23,OUTFLOW,19880822 0000,19880821 0100,1179,,CFS
FOL,D,23,OUTFLOW,19880823 0000,19880822 0100,1261,,CFS
FOL,D,23,OUTFLOW,19880824 0000,19880823 0100,1193,,CFS
FOL,D,23,OUTFLOW,19880825 0000,19880824 0100,1179,,CFS
FOL,D,23,OUTFLOW,19880826 0000,19880825 0100,1330,,CFS
FOL,D,23,OUTFLOW,19880828 0000,19880828 0000,1312,,CFS
FOL,D,23,OUTFLOW,19880829 0000,19880828 0100,1312,,CFS
FOL,D,23,OUTFLOW,19880830 0000,19880829 0100,1303,,CFS
FOL,D,23,OUTFLOW,19880831 0000,19880830 0100,1195,,CFS
FOL,D,23,OUTFLOW,19880901 0000,19880831 0100,1169,,CFS
FOL,D,23,OUTFLOW,19880902 0000,19880901 0100,1317,,CFS
FOL,D,23,OUTFLOW,19880903 0000,19880902 0100,1229,,CFS
